elevation,slope,aspect,curvature,TWI,SPI,TRI,TPI,convergence,NDVI,LULC,rainfall,dist_river,stream_density,dist_roads,LS_factor,lithology,flood
853,13.912433,119.34926,85.0,8.299242003485562,247.70527340847605,11.567301722345599,-18.600000000000023,86.5255552987218,0.12617871,80,2240.051000058651,30.0,0,30.0,286.56190432338326,1,1
567,19.302393,166.07115,-6.0,7.954035377577056,350.2419072016465,20.09975124224178,-1.2799999999999727,58.94209646122241,0.5131406,10,2478.630138039589,30.0,1,0.0,16.492370673994866,1,1
569,10.622456,267.52658,94.0,8.576144186365047,187.55059353651018,11.35401163672517,-17.936000000000035,108.20536974110458,-0.11261922,80,2478.630138039589,30.0,0,30.0,142.40330811594964,1,1
950,20.399786,168.34515,59.0,7.89422061240853,371.89241468368334,25.412643883228274,-8.776000000000067,81.5882255508362,0.69407386,10,2636.206805050373,67.0820393249937,0,0.0,6558.819680715887,1,1
1927,25.87101,349.9714,3.0,7.629407309164916,484.9487903990036,33.15619600215521,-15.072000000000116,127.84742745506877,0.7503587,10,2185.6044740229845,1170.3845521878695,0,0.0,37.2143944098957,3,1
559,3.8602448,316.03064,247.0,9.58902565022293,67.47610879672817,21.21378540850269,-29.135999999999967,101.34080780981932,-0.20307918,80,2461.7261468172073,0.0,0,30.0,35.352066971533,1,1
770,9.466385,106.93296,39.0,8.693098113071875,166.7395443074221,14.65150731722394,-10.52800000000002,94.96516817842178,0.020348638,60,2140.1496731489897,42.42640687119285,0,30.0,0.6749137492999409,1,1
538,6.316926,248.55688,62.0,9.09969338030727,110.70005267570492,9.926893264085935,-7.176000000000045,65.24294410530705,0.091647856,60,2478.630138039589,30.0,1,120.0,0.5138324909306587,1,1
542,7.6851177,316.03564,105.0,8.903290907269103,134.94082091378047,14.321700705960557,-15.071999999999889,99.80928054124968,-0.016229713,80,2478.630138039589,30.0,0,30.0,419.5722558449408,1,1
786,0.53763247,270.0,97.0,11.475270197831886,9.383732098027993,12.778260860435193,-17.424000000000206,82.97438662815092,0.10862471,80,2140.1496731489897,0.0,0,30.0,21.479872022149152,1,1
537,3.8637128,103.86811,12.0,9.588138077667576,67.53691329180235,5.354126134736337,-3.5440000000000964,91.00151857123885,0.028816987,80,2640.168038420379,0.0,0,67.0820393249937,35.67501336675341,1,1
522,1.169156,246.63452,63.0,10.751724686407648,20.40845358917741,5.2493385826745405,-7.567999999999984,122.35147552729329,-0.15193644,80,2640.168038420379,0.0,1,120.0,128.0744951801909,1,1
592,19.663858,116.93678,169.0,7.934027351724293,357.34034037594296,21.928052949882115,-29.799999999999955,85.24294251088847,-0.286844,80,2407.266181245446,108.16653826391968,0,0.0,45.35894979608767,1,1
588,18.955172,100.867,93.0,7.973553828317012,343.45268245204016,15.195028426721974,-23.81600000000003,86.14974520881508,-0.3935484,80,2461.7261468172073,30.0,0,0.0,2.2748804532848332,1,1
543,10.934443,157.17538,-9.0,8.546657202701791,193.19316416481476,13.39983416149452,-1.768000000000029,58.64390531301551,0.30761874,50,2640.168038420379,30.0,0,42.42640687119285,1589.1500297195985,1,1
588,19.309307,161.28381,56.0,7.953649725540342,350.37739048156027,25.528971680459883,-9.728000000000065,70.33563290972639,0.2167364,80,2461.7261468172073,67.0820393249937,0,0.0,16.871441487993113,1,1
707,0.46373534,180.0,26.0,11.607908313661115,8.093885315382847,3.4138425546099542,-7.247999999999934,107.59251786003271,-0.23759791,80,2306.21667642612,0.0,0,67.0820393249937,17.091959330224594,1,1
724,0.7095038,49.18748,70.0,11.221464724907186,12.383810877018634,14.061592906273969,-13.408000000000015,82.33353669205995,-0.22222222,80,2306.21667642612,0.0,0,30.0,34.51268628930794,1,1
605,4.6832027,152.77574,-15.0,9.39763639503183,81.91982382544175,7.3484692283495345,2.032000000000039,37.405876510798045,0.07659208,80,2478.630138039589,0.0,0,67.0820393249937,4160.208968570023,1,1
715,9.9637785,253.95227,59.0,8.641197463583929,175.67521338879928,9.546507344003503,-10.776000000000067,83.57998770802469,0.18235525,80,2531.4247173964977,30.0,0,30.0,21.56683370205447,1,1
846,10.27408,100.288826,109.0,8.610057041977251,181.26351344512875,18.99382615743276,-16.70399999999995,68.61052025961884,0.29593268,30,2240.051000058651,30.0,0,30.0,49.70071682756812,1,1
739,7.756673,130.81589,103.0,8.893978650040195,136.21264941223322,15.69225648465586,-20.639999999999986,94.24692071363624,0.16509172,30,2306.21667642612,30.0,0,30.0,866.210526799425,1,1
670,7.460235,210.07745,162.0,8.933113984796273,130.9465047196481,16.792855623746664,-24.328000000000088,90.89825320416784,-0.03510046,80,2088.0682021975517,30.0,0,30.0,131.80883885120258,1,1
520,10.545433,-0.0,179.0,8.583550109542172,186.15936036758504,26.265501008164456,-21.392000000000053,128.32393848355676,0.095734596,80,2640.168038420379,30.0,0,30.0,108.29485141123838,1,1
552,1.3909631,-0.0,172.0,10.585431487091016,24.281655934544105,18.799789859608634,-31.128000000000043,106.86904448601885,-0.40010324,80,2478.630138039589,0.0,0,30.0,385.96105296095556,1,1
587,0.7093843,130.82086,68.0,11.221620605659345,12.38172476110926,15.391997279329624,-19.55200000000002,88.20957710919893,-0.25185105,80,2407.266181245446,0.0,0,30.0,34.501839314302316,1,1
720,3.8564277,16.143646,281.0,9.590003456782929,67.40918513287446,24.2064168617331,-37.55200000000002,117.26181686334313,0.044824775,80,2306.21667642612,0.0,0,30.0,34.99965233105473,1,1
597,28.56616,266.5909,47.0,7.513896185273619,544.4517621591923,17.125535046160696,-8.663999999999987,81.88667972149001,-0.22749273,80,2387.4815890341997,42.42640687119285,0,0.0,8.810939966802163,1,1
591,25.873081,14.547076,67.0,7.629315420267741,484.9934457490714,15.254224268204148,-16.624000000000024,123.11387153004276,-0.18002881,80,2387.4815890341997,120.0,0,0.0,37.41621597703261,1,1
646,0.709589,49.19342,199.0,11.221353640681212,12.385297689869693,19.879886230640793,-32.29600000000005,85.88200936546019,0.2719101,30,2140.728725284338,0.0,0,30.0,34.52041896499035,1,1
571,16.671577,-0.0,116.0,8.110150192477926,299.4737409064694,12.913769089571678,-18.888000000000147,122.36456993421719,-0.20228061,80,2461.7261468172073,67.0820393249937,0,0.0,67.55288790139798,1,1
645,19.162582,17.263721,246.0,7.961858686153462,347.5047541335932,26.08958923913266,-37.952,105.98641897944525,-0.20468308,30,2115.462429508567,67.0820393249937,0,0.0,9.708146545126194,1,1
587,10.61296,90.0,-52.0,8.577054468631813,187.3790373689406,18.292547224228,1.4639999999999418,91.49588224886442,-0.11291432,80,2478.630138039589,30.0,0,30.0,137.36786636957564,1,1
517,9.666191,241.62762,126.0,8.671943119173113,170.32587398575376,17.76388345929897,-19.103999999999928,91.79596441758224,0.041088436,80,2604.9459233283997,30.0,0,30.0,6.803241042635894,1,1
745,6.922303,180.0,7.0,9.0081485420392,121.40828013170949,12.752148209249423,-10.928000000000111,92.81029509695466,0.10892308,10,2306.21667642612,30.0,0,30.0,28.603843578745586,1,1
506,0.0,-0.0,35.0,13.815510557964274,0.0,5.56665557772341,-6.1200000000000045,78.30219036049927,-0.022867514,60,2604.9459233283997,0.0,0,42.42640687119285,0.0,1,1
682,4.002561,69.69479,129.0,9.553228927140365,69.97173014811858,16.22754859285078,-20.44799999999998,93.68958056066568,-0.07751396,80,2088.0682021975517,0.0,0,30.0,51.24660817130293,1,1
1016,39.181774,166.70331,-63.0,7.111034264741425,815.0505431843959,43.03745139087841,-6.928000000000111,81.56050196971557,0.43207127,10,2387.4815890341997,42.42640687119285,0,0.0,985.9521233090901,2,1
700,9.700736,124.62273,123.0,8.668328035922155,170.9463521476174,18.909139471577113,-22.567999999999984,70.11109798026584,0.611481,10,2442.2664622217417,42.42640687119285,0,30.0,8.16008824280686,1,1
532,4.6648636,233.47624,31.0,9.401529865903965,81.59760558736222,4.878777422242121,-5.064000000000078,79.25122026131905,0.2242905,10,2640.168038420379,0.0,0,60.0,2205.861734419068,1,1
728,4.6687403,66.644196,95.0,9.400705583623012,81.6657173979199,10.719775195725449,-17.615999999999985,109.55614250213821,-0.3264516,80,2306.21667642612,0.0,0,30.0,2464.2541892706863,1,1
579,16.30743,243.72693,29.0,8.133424282232165,292.56124119052265,14.21093301947289,-9.423999999999978,101.61928692572666,-0.1919192,80,2461.7261468172073,30.0,0,0.0,25.647615949421112,1,1
516,3.2496696,98.195564,83.0,9.758896781228806,56.77832912463408,10.44326234445233,-13.991999999999962,111.73918361424442,-0.1644385,80,2640.168038420379,0.0,0,30.0,2.344574254579356,1,1
599,28.329498,126.90845,192.0,7.523739930625669,539.1088143633679,28.091121570900494,-33.375999999999976,84.89835201097739,-0.023219576,80,2407.266181245446,42.42640687119285,0,0.0,0.9743988950567206,1,1
664,3.8612847,43.9854,168.0,9.588759406343106,67.49434256881688,19.949937343260004,-22.520000000000095,103.84440916105018,-0.231821,30,2140.728725284338,0.0,0,30.0,35.4486336304029,1,1
859,10.154474,264.81454,160.0,8.62195267352668,179.10821855676278,12.812994946780352,-29.024,80.08458396377581,0.109632224,60,2240.051000058651,84.8528137423857,0,30.0,36.38981801116608,1,1
527,1.0714661,149.94293,2.0,10.834750241028113,18.702791317220598,0.9162456945785652,-1.5040000000001328,73.71998594884899,-0.16122082,80,2640.168038420379,0.0,1,150.0,92.52157657986061,1,1
590,7.5294766,82.96524,114.0,8.92383963869698,132.17591444451332,17.467430008765202,-23.58400000000006,88.23915056342301,-0.11169085,80,2407.266181245446,30.0,0,30.0,173.4202784284733,1,1
537,3.7111075,299.94357,20.0,9.627952335878646,64.86177463065854,2.7397395568740515,-3.0559999999999263,91.17345141133494,0.014480761,80,2478.630138039589,0.0,1,67.0820393249937,23.56631684755438,1,1
603,7.414675,158.89484,174.0,8.939262001085932,130.13778402062445,21.71532996653644,-28.423999999999978,101.13577445672291,-0.116071425,80,2305.8633815478534,30.0,0,30.0,112.29482003842276,1,1
556,3.2427514,180.0,101.0,9.760995506002041,56.65719547150596,11.735774156898326,-21.88799999999992,125.9500499394089,-0.22653599,80,2478.630138039589,0.0,0,30.0,2.150015981311605,1,1
714,10.558494,177.11734,41.0,8.58229069542046,186.39522000034373,11.056532620140182,-8.759999999999991,58.934929764985355,-0.21322803,60,2306.21667642612,30.0,0,30.0,113.14368058663436,1,1
747,9.724067,160.84499,-19.0,8.665893463036692,171.36547806358735,16.003086122123765,-8.591999999999985,86.13618983946454,0.5608181,10,2306.21667642612,42.42640687119285,0,30.0,9.123118136956073,1,1
713,3.2118607,30.071114,178.0,9.77042037386766,56.11633678711844,19.792129624216148,-25.432000000000016,90.8170063439894,-0.21808815,80,2306.21667642612,0.0,0,30.0,1.3357408756538431,1,1
587,14.133578,116.74414,223.0,8.282889119903162,251.80575778487884,27.324298416439014,-34.83999999999992,91.12977068153002,-0.13856427,80,2470.53898024559,30.0,0,30.0,63473.96527086294,1,1
609,35.159874,139.32324,-29.0,7.256782274890715,704.374087798534,31.569245856539105,0.4799999999999045,68.22393986479283,0.3757178,10,2461.7261468172073,60.0,0,0.0,25.85491274184661,1,1
718,3.7432933,171.76369,85.0,9.619423417851037,65.42590660563128,11.795584024079215,-19.935999999999922,88.8238708362258,-0.16080178,80,2306.21667642612,0.0,0,30.0,25.807849958728415,1,1
709,13.559622,212.96645,150.0,8.325830920598547,241.17960913136332,24.917642121374342,-20.807999999999993,77.34993400031928,0.13185433,80,2306.21667642612,30.0,0,30.0,73.41332678778524,1,1
638,22.28115,106.05429,218.0,7.797536453880359,409.7456243719616,21.591036091539635,-33.912000000000035,98.42226412077254,-0.12599206,10,2115.462429508567,84.8528137423857,0,0.0,8.735229092843161,1,1
699,4.2495694,130.81091,121.0,9.493960304285139,74.305280136275,12.53538202326171,-20.663999999999987,94.3324641812006,-0.12832057,30,2342.405929327011,0.0,0,30.0,103.87606577178308,1,1
1222,22.684519,170.94994,105.0,7.77765963879213,417.9916197695582,41.593268686170845,-21.687999999999874,103.44007714576914,0.6181597,10,2914.0434357970953,42.42640687119285,0,0.0,33.075050784215385,2,1
589,10.819096,312.66003,69.0,8.55746516320602,191.1056334119765,12.944325225965066,-15.408000000000015,80.78057428528925,-0.12566261,80,2470.53898024559,67.0820393249937,0,30.0,395.73356217938203,1,1
767,10.212265,148.61047,93.0,8.61618843696316,180.14940286899815,14.922019523732928,-15.128000000000043,71.67622697283562,0.6768894,10,2140.1496731489897,30.0,0,30.0,42.30247058125575,1,1
581,15.894361,235.3551,233.0,8.160389467079654,284.75108248297227,31.124996901185018,-32.04000000000008,90.00072762888921,-0.22768496,80,2387.4815890341997,30.0,0,0.0,4.810282575639628,1,1
901,12.981483,77.83888,129.0,8.370810533273659,230.52781666561063,19.02045682358281,-17.895999999999958,75.14728989087719,0.07657993,80,2636.206805050373,30.0,0,30.0,14.501838567558368,1,1
606,28.941717,314.63345,112.0,7.498381935334128,552.9800208393737,32.462323840658414,-21.168000000000006,78.66299972424501,-0.11792702,80,2470.53898024559,30.0,0,0.0,30.86695798594646,1,1
616,32.160213,121.85559,51.0,7.370165015433818,628.7642497019655,31.31914572412359,-11.58400000000006,83.42595427239117,0.05240913,80,2470.53898024559,30.0,0,0.0,37.80360704561185,1,1
712,3.349379,73.94269,20.0,9.729124701020966,58.52437288185539,3.046957600185789,-5.327999999999861,88.8189331804007,-0.023731766,60,2306.21667642612,0.0,0,67.0820393249937,5.560546644684488,1,1
596,6.70842,61.20424,200.0,9.03956871641874,117.62198513831898,18.292547224228,-31.463999999999942,95.89490095458167,-0.12099934,80,2407.266181245446,123.69316876852982,0,30.0,15.023367362444258,1,1
734,23.497406,155.81555,1.0,7.738422269057472,434.75854274752015,22.047647616743838,-6.0639999999999645,51.256764320018625,-0.099147946,30,2306.21667642612,42.42640687119285,0,0.0,1480.6567370477935,1,1
589,10.752767,140.10033,368.0,8.563729609789899,189.90595950282597,27.878484114872915,-55.36800000000005,84.83089446171061,-0.19783057,80,2407.266181245446,174.92855684535903,0,30.0,258.1758262612974,1,1
927,3.2868972,189.41118,148.0,9.747677804729182,57.43019262467233,19.66446943155773,-21.536000000000058,78.63522526405939,0.3371883,60,2636.206805050373,0.0,0,30.0,3.459099318672408,1,1
508,4.5045414,107.95171,57.0,9.436219403784877,78.78146060184659,14.567848922274772,-10.639999999999873,71.11169393438652,0.003543586,60,2604.9459233283997,0.0,0,30.0,318.21853965508615,1,1
2694,44.03454,354.998,213.0,6.9404288847704905,966.8544101175147,90.73281900417535,-25.576000000000022,144.81686120036423,0.6898096,10,2701.084841489792,1405.8449416631977,0,0.0,0.9076891967751223,5,0
2618,47.971317,1.9352412,-118.0,6.802949373297969,1109.4950486600271,73.35824492697014,17.408000000000357,156.0183891879266,0.7269204,10,2701.084841489792,1321.3629327327144,0,0.0,49.45711295505929,5,0
2388,36.12407,12.606121,-115.0,7.221293823215243,729.8562081686417,50.7406866720411,19.728000000000065,148.61745412057957,0.7296182,10,2579.2353380918503,1230.0,0,0.0,51002.2612515187,4,0
1793,48.242577,261.27194,47.0,6.793433177095345,1120.1131794032538,64.74184251965302,-22.87200000000007,22.93711556971781,0.7005374,10,2185.6044740229845,1273.4991166074674,0,0.0,107.59090723962701,3,0
2608,50.950073,266.23526,-297.0,6.697738065618925,1232.6992958880473,81.31967098364878,44.503999999999905,57.732396860030484,0.47537583,30,2471.400451749563,1023.9628899525608,0,0.0,32.31466842052731,5,0
2248,41.089573,329.67657,246.0,7.043534714816145,872.0351715288226,68.55654600401044,-30.0,143.59483990685717,0.77865136,10,2362.3764704465866,1087.4741376235115,0,0.0,7.089164718837802,4,0
2703,45.19308,336.42038,-12.0,6.900022643190253,1006.762609829658,65.15963303900489,-0.9279999999998836,155.38476560063512,0.81412077,30,2394.161018848419,1247.7980605851253,0,0.0,149.84308701961115,5,0
2028,57.15373,276.60126,-932.0,6.469534136915249,1548.9476281451834,99.84667257696444,98.87200000000007,14.832159682226544,0.51178527,10,2185.6044740229845,1194.7384651043926,0,0.0,26.05025648326838,4,0
2456,34.6172,331.5691,61.0,7.276941136006874,690.2969161218515,45.455173957491404,-10.488000000000284,146.21052863217096,0.7797071,10,2726.2360446453094,1002.6464980241042,0,0.0,1.0795754582492487,4,0
1744,47.853355,294.67975,382.0,6.807084657227649,1104.912318307513,72.23128148310496,-52.33600000000001,29.750807786283293,0.61456186,10,2185.6044740229845,1145.5129855222071,0,0.0,36.3678611701244,3,0
